state,year,hay_alf_acres,alf_irrigated_acres,alf_non_irrigated_acres_harvested,hay_alf_tons,alf_irrigated_production_tons,non_irrigated_production,irrigation_share,hay_alfalfa_yield_tons_per_acre,alf_irrigated_yield_tons_per_acre,alf_non_irrigated_yield_tons_per_acre,haylage_acres,haylage_production,haylage_irrigated_acres,haylage_irrigated_ops
Colorado,2020,700000,NA,NA,2380000,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA
Colorado,2021,780000,NA,NA,3120000,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
Colorado,2022,1245129,564610,680519,3588267,NA,NA,0.453455024,2.9,NA,NA,52570,251822,50566,423
Colorado,2023,650000,NA,NA,2210000,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA
Colorado,2024,675000,NA,NA,2498000,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA
Colorado,2025,620000,NA,NA,2356000,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA
Connecticut,2005,8000,NA,NA,19000,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA
Connecticut,2006,7000,NA,NA,15000,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA
Connecticut,2007,16343,NA,NA,36441,NA,NA,NA,2.3,NA,NA,3916,23460,NA,NA
Connecticut,2008,9000,NA,NA,23000,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA
Connecticut,2009,7000,NA,NA,14000,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Connecticut,2010,6000,NA,NA,12000,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Connecticut,2011,5000,NA,NA,11000,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA
Connecticut,2012,9883,25,9858,26972,NA,NA,0.002529596,2.8,NA,NA,3062,17355,NA,NA
Connecticut,2013,7000,NA,NA,14000,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Connecticut,2014,8000,NA,NA,16000,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Connecticut,2015,7000,NA,NA,13000,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA
Connecticut,2016,6000,NA,NA,11000,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA
Connecticut,2017,17433,0,17433,34278,NA,NA,0,2.3,NA,NA,2662,9252,NA,NA
Connecticut,2018,7000,NA,NA,18000,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA
Connecticut,2019,7000,NA,NA,13000,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA
Connecticut,2020,6000,NA,NA,11000,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA
Connecticut,2021,6000,NA,NA,13000,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA
Connecticut,2022,15240,87,15153,27820,NA,NA,0.005708661,2.1,NA,NA,3730,13051,NA,NA
Connecticut,2023,5000,NA,NA,11000,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA
Connecticut,2024,5000,NA,NA,11000,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA
Connecticut,2025,5000,NA,NA,10000,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Delaware,2005,5000,NA,NA,18000,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA
Delaware,2006,5000,NA,NA,20000,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA
Delaware,2007,8687,421,8266,26530,NA,NA,0.048463221,2.6,NA,NA,0,5945,0,3
Delaware,2008,6000,NA,NA,20000,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA
Delaware,2009,5000,NA,NA,20000,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA
Delaware,2010,5000,NA,NA,17000,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA
Delaware,2011,5000,NA,NA,15000,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Delaware,2012,10837,477,10360,29272,NA,NA,0.044015872,2.7,NA,NA,534,1752,NA,NA
Delaware,2013,6000,NA,NA,21000,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
Delaware,2014,4000,NA,NA,11000,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA
Delaware,2015,4000,NA,NA,11000,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA
Delaware,2016,5000,NA,NA,14000,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA
Delaware,2017,7480,259,7221,26218,NA,NA,0.034625668,3.5,NA,NA,509,5253,NA,NA
Delaware,2018,4000,NA,NA,12000,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA
Delaware,2019,3000,NA,NA,9000,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Delaware,2020,4000,NA,NA,10000,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA
Delaware,2021,3000,NA,NA,7000,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA
Delaware,2022,3619,208,3411,9935,NA,NA,0.057474440453163855,2.85,NA,NA,71,452,NA,NA
Delaware,2023,4000,NA,NA,13000,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA
Delaware,2024,3000,NA,NA,8000,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA
Delaware,2025,3000,NA,NA,11000,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
Florida,2007,6951,1071,5880,14993,NA,NA,0.1540785498489426,2.1569558336929937,NA,NA,1010,7177,0,1
Florida,2012,4988,566,4422,8219,NA,NA,0.11347233360064155,1.6477546110665597,NA,NA,584,1691,0,2
Florida,2015,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2017,10167,886,9281,22134,NA,NA,0.087144684,2.1770433756270284,NA,NA,6185,72193,3067,18
Florida,2022,13288,732,12556,37772,NA,NA,0.055087296809151115,2.8425647200481636,NA,NA,7517,55987,2739,20
Georgia,2007,1655,243,1412,4810,NA,NA,0.14682779456193354,2.906344410876133,NA,NA,802,2754,116,5
Georgia,2012,1599,268,1331,3429,NA,NA,0.16760475297060662,2.144465290806754,NA,NA,1387,6952,204,5
Georgia,2015,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,2017,10066,947,9119,24171,NA,NA,0.094079078,2.401251739,NA,NA,3096,30667,284,5
Georgia,2022,22948,639,22309,43936,NA,NA,0.027845563883562838,1.9145895067108245,NA,NA,4943,23774,149,5
Idaho,2005,1100000,870000,230000,4620000,4263000,357000,0.7909090909090909,4.2,4.9,1.55,60000,630000,NA,NA
Idaho,2006,1130000,910000,220000,4859000,4510000,349000,0.8053097345132744,4.3,4.96,1.59,90000,1260000,NA,NA
Idaho,2007,2187520,1791092,220000,8969543,4455000,260000,0.8187774283206554,4.1,4.79,1.18,146411,1683557,70145,349
Idaho,2008,1130000,900000,230000,4972000,4597000,375000,0.7964601769911505,4.4,5.1,1.65,80000,1184000,NA,NA
Idaho,2009,1140000,NA,NA,4788000,NA,NA,NA,4.2,NA,NA,65000,683000,NA,NA
Idaho,2010,1130000,NA,NA,4746000,NA,NA,NA,4.2,NA,NA,85000,935000,NA,NA
Idaho,2011,1000000,NA,NA,4300000,NA,NA,NA,4.3,NA,NA,85000,1063000,NA,NA
Idaho,2012,2067761,811911,1255850,8126325,NA,NA,0.39265224559318024,4,NA,NA,174734,1923706,86639,455
Idaho,2013,1120000,NA,NA,4256000,NA,NA,NA,3.8,NA,NA,65000,813000,NA,NA
Idaho,2014,1090000,NA,NA,4251000,NA,NA,NA,3.9,NA,NA,80000,920000,NA,NA
Idaho,2015,1000000,NA,NA,4200000,NA,NA,NA,4.2,NA,NA,70000,770000,NA,NA
Idaho,2016,1000000,NA,NA,4400000,NA,NA,NA,4.4,NA,NA,100000,1300000,NA,NA
Idaho,2017,2193062,918373,1274689,8801851,NA,NA,0.41876289863214083,4,NA,NA,163825,1584417,96663,490
Idaho,2018,1050000,NA,NA,4410000,NA,NA,NA,4.2,NA,NA,85000,765000,NA,NA
Idaho,2019,1010000,NA,NA,4444000,NA,NA,NA,4.4,NA,NA,115000,1438000,NA,NA
Idaho,2020,1010000,NA,NA,4545000,NA,NA,NA,4.5,NA,NA,105000,998000,NA,NA
Idaho,2021,960000,NA,NA,3936000,NA,NA,NA,4.1,NA,NA,100000,1340000,NA,NA
Idaho,2022,2107568,870101,1237467,8484331,NA,NA,0.4128459912088246,4.3,NA,NA,196950,2372964,111495,518
Idaho,2023,1000000,NA,NA,4500000,NA,NA,NA,4.5,NA,NA,125000,1525000,NA,NA
Idaho,2024,940000,NA,NA,3854000,NA,NA,NA,4.1,NA,NA,95000,1159000,NA,NA
Idaho,2025,870000,NA,NA,3567000,NA,NA,NA,4.1,NA,NA,120000,1260000,NA,NA
Illinois,2005,400000,NA,NA,1400000,NA,NA,NA,3.5,NA,NA,38000,213000,NA,NA
Illinois,2006,410000,NA,NA,1681000,NA,NA,NA,4.1,NA,NA,30000,231000,NA,NA
Illinois,2007,702339,906,701433,2544512,NA,NA,0.001289975,3.7,NA,NA,70341,479910,0,5
Illinois,2008,350000,NA,NA,1365000,NA,NA,NA,3.9,NA,NA,35000,186000,NA,NA
Illinois,2009,340000,NA,NA,1326000,NA,NA,NA,3.9,NA,NA,24000,199000,NA,NA
Illinois,2010,340000,NA,NA,1292000,NA,NA,NA,3.8,NA,NA,30000,255000,NA,NA
Illinois,2011,280000,NA,NA,952000,NA,NA,NA,3.4,NA,NA,31000,239000,NA,NA
Illinois,2012,537746,1073,536673,1623158,NA,NA,0.001995366,3,NA,NA,71585,472242,0,13
Illinois,2013,340000,NA,NA,1224000,NA,NA,NA,3.6,NA,NA,38000,141000,NA,NA
Illinois,2014,270000,NA,NA,1080000,NA,NA,NA,4,NA,NA,40000,264000,NA,NA
Illinois,2015,230000,NA,NA,805000,NA,NA,NA,3.5,NA,NA,34000,272000,NA,NA
Illinois,2016,230000,NA,NA,897000,NA,NA,NA,3.9,NA,NA,25000,233000,NA,NA
Illinois,2017,478167,499,477668,1788430,NA,NA,0.001043568,4.1,NA,NA,65995,530658,0,4
Illinois,2018,250000,NA,NA,825000,NA,NA,NA,3.3,NA,NA,24000,156000,NA,NA
Illinois,2019,200000,NA,NA,700000,NA,NA,NA,3.5,NA,NA,30000,222000,NA,NA
Illinois,2020,220000,NA,NA,858000,NA,NA,NA,3.9,NA,NA,35000,238000,NA,NA
Illinois,2021,290000,NA,NA,1088000,NA,NA,NA,3.75,NA,NA,30000,212000,NA,NA
Illinois,2022,459586,2875,456711,1620476,NA,NA,0.00625563,3.65,NA,NA,61823,425811,0,2
Illinois,2023,180000,NA,NA,684000,NA,NA,NA,3.8,NA,NA,27000,184000,NA,NA
Illinois,2024,260000,NA,NA,975000,NA,NA,NA,3.75,NA,NA,30000,261000,NA,NA
Illinois,2025,265000,NA,NA,967000,NA,NA,NA,3.65,NA,NA,30000,266000,NA,NA
Indiana,2005,340000,NA,NA,1292000,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA
Indiana,2006,340000,NA,NA,1394000,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA
Indiana,2007,521129,2185,518944,1421767,NA,NA,0.00419282,2.7,NA,NA,35116,226847,2535,38
Indiana,2008,300000,NA,NA,1200000,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
Indiana,2009,300000,NA,NA,1080000,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA
Indiana,2010,300000,NA,NA,1080000,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA
Indiana,2011,280000,NA,NA,1120000,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
Indiana,2012,483793,2040,481753,1352979,NA,NA,0.004216679,2.9,NA,NA,35658,214415,2308,35
Indiana,2013,280000,NA,NA,1036000,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA
Indiana,2014,240000,NA,NA,960000,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
Indiana,2015,230000,NA,NA,897000,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA
Indiana,2016,210000,NA,NA,882000,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA
Indiana,2017,477329,2956,474373,1521575,NA,NA,0.006192794,3.3,NA,NA,42717,269838,2102,32
Indiana,2018,240000,NA,NA,720000,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Indiana,2019,220000,NA,NA,660000,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Indiana,2020,230000,NA,NA,667000,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA
Indiana,2021,270000,NA,NA,891000,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA
Indiana,2022,463050,3434,459616,1481706,NA,NA,0.007416046,3.5,NA,NA,39611,237807,2249,53
Indiana,2023,270000,NA,NA,675000,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA
Indiana,2024,240000,NA,NA,888000,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA
Indiana,2025,270000,NA,NA,891000,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA
Iowa,2005,1250000,NA,NA,5125000,NA,NA,NA,4.1,NA,NA,85000,655000,NA,NA
Iowa,2006,1150000,NA,NA,4485000,NA,NA,NA,3.9,NA,NA,100000,670000,NA,NA
Iowa,2007,1890440,1198,1889242,7294729,NA,NA,6.337149023507754e-4,4,NA,NA,179720,1334898,267,7
Iowa,2008,1150000,NA,NA,4370000,NA,NA,NA,3.8,NA,NA,100000,640000,NA,NA
Iowa,2009,920000,NA,NA,3312000,NA,NA,NA,3.6,NA,NA,55000,363000,NA,NA
Iowa,2010,880000,NA,NA,2992000,NA,NA,NA,3.4,NA,NA,75000,488000,NA,NA
Iowa,2011,820000,NA,NA,2788000,NA,NA,NA,3.4,NA,NA,65000,494000,NA,NA
Iowa,2012,1386367,541,1385826,4154729,NA,NA,3.902285614126707e-4,2.9,NA,NA,140480,1011989,0,4
