state,year,hay_alf_acres,alf_irrigated_acres,alf_non_irrigated_acres_harvested,hay_alf_tons,alf_irrigated_production_tons,non_irrigated_production,irrigation_share,hay_alfalfa_yield_tons_per_acre,alf_irrigated_yield_tons_per_acre,alf_non_irrigated_yield_tons_per_acre,haylage_acres,haylage_production,haylage_irrigated_acres,haylage_irrigated_ops
Kentucky,2010,230000,NA,NA,644000,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA
Kentucky,2011,210000,NA,NA,714000,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA
Kentucky,2012,378075,300,377775,1070475,NA,NA,7.934933544931561e-4,2.9,NA,NA,21695,110183,52,6
Kentucky,2013,200000,NA,NA,660000,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA
Kentucky,2014,165000,NA,NA,561000,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA
Kentucky,2015,170000,NA,NA,629000,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA
Kentucky,2016,160000,NA,NA,560000,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
Kentucky,2017,392505,NA,NA,1217940,NA,NA,NA,3.3,NA,NA,28800,143371,NA,NA
Kentucky,2018,145000,NA,NA,450000,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA
Kentucky,2019,145000,NA,NA,464000,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA
Kentucky,2020,145000,NA,NA,508000,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
Kentucky,2021,100000,NA,NA,330000,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA
Kentucky,2022,258412,515,257897,779604,NA,NA,0.001992942,3.6,NA,NA,24733,101745,95,13
Kentucky,2023,90000,NA,NA,270000,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Kentucky,2024,100000,NA,NA,300000,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Kentucky,2025,95000,NA,NA,285000,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Louisiana,2007,2164,0,2164,4768,NA,NA,0,2.2033271719038816,NA,NA,2087,5058,NA,NA
Louisiana,2012,1905,0,1905,3825,NA,NA,0,2.0078740157480315,NA,NA,494,1535,NA,NA
Louisiana,2015,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,2017,2141,75,2066,4374,NA,NA,0.03503036,2.042970574497898,NA,NA,550,1917,0,2
Louisiana,2022,201,NA,NA,404,NA,NA,NA,2.009950248756219,NA,NA,835,1907,0,2
Maine,2005,11000,NA,NA,30000,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA
Maine,2006,10000,NA,NA,19000,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA
Maine,2007,19089,NA,NA,46876,NA,NA,NA,2.5,NA,NA,10036,73046,NA,NA
Maine,2008,8000,NA,NA,22000,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA
Maine,2009,9000,NA,NA,15000,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA
Maine,2010,7000,NA,NA,13000,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA
Maine,2011,7000,NA,NA,20000,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA
Maine,2012,19144,0,19144,29142,NA,NA,0,1.5,NA,NA,7086,50838,12,4
Maine,2013,10000,NA,NA,22000,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA
Maine,2014,10000,NA,NA,23000,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA
Maine,2015,10000,NA,NA,23000,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA
Maine,2016,10000,NA,NA,22000,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA
Maine,2017,22842,0,22842,43879,NA,NA,0,2.2,NA,NA,14208,96342,0,2
Maine,2018,10000,NA,NA,23000,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA
Maine,2019,10000,NA,NA,21000,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA
Maine,2020,9000,NA,NA,21000,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA
Maine,2021,10000,NA,NA,20000,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Maine,2022,20799,0,20799,34858,NA,NA,0,2.3,NA,NA,11723,69191,0,1
Maine,2023,8000,NA,NA,18000,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA
Maine,2024,8000,NA,NA,20000,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA
Maine,2025,10000,NA,NA,22000,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA
Maryland,2005,40000,NA,NA,156000,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA
Maryland,2006,40000,NA,NA,156000,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA
Maryland,2007,80576,712,79864,240402,NA,NA,0.008836378,3,NA,NA,18086,122069,340,9
Maryland,2008,45000,NA,NA,194000,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA
Maryland,2009,40000,NA,NA,180000,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA
Maryland,2010,40000,NA,NA,120000,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Maryland,2011,35000,NA,NA,123000,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
Maryland,2012,59128,348,58780,197853,NA,NA,0.005885536,3.5,NA,NA,14402,105676,0,7
Maryland,2013,30000,NA,NA,114000,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA
Maryland,2014,35000,NA,NA,133000,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA
Maryland,2015,35000,NA,NA,154000,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA
Maryland,2016,35000,NA,NA,144000,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA
Maryland,2017,63950,467,63483,233179,NA,NA,0.00730258,3.9,NA,NA,12764,108441,313,6
Maryland,2018,40000,NA,NA,180000,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA
Maryland,2019,34000,NA,NA,119000,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
Maryland,2020,35000,NA,NA,102000,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA
Maryland,2021,34000,NA,NA,112000,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA
Maryland,2022,65839,1063,64776,231753,NA,NA,0.016145445708470662,4.1,NA,NA,10549,78019,0,5
Maryland,2023,45000,NA,NA,135000,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Maryland,2024,40000,NA,NA,176000,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA
Maryland,2025,35000,NA,NA,140000,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
Massachusetts,2005,10000,NA,NA,22000,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA
Massachusetts,2006,8000,NA,NA,18000,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA
Massachusetts,2007,18921,0,18921,44537,NA,NA,0,2.4,NA,NA,5416,34766,NA,NA
Massachusetts,2008,8000,NA,NA,17000,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA
Massachusetts,2009,6000,NA,NA,12000,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Massachusetts,2010,7000,NA,NA,17000,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA
Massachusetts,2011,9000,NA,NA,19000,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA
Massachusetts,2012,17585,0,17585,39789,NA,NA,0,2.3,NA,NA,4432,34071,0,2
Massachusetts,2013,9000,NA,NA,28000,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA
Massachusetts,2014,10000,NA,NA,18000,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA
Massachusetts,2015,9000,NA,NA,18000,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Massachusetts,2016,7000,NA,NA,16000,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA
Massachusetts,2017,18410,69,18341,43845,NA,NA,0.003747963,2.5,NA,NA,4946,26518,0,1
Massachusetts,2018,9000,NA,NA,19000,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA
Massachusetts,2019,6000,NA,NA,16000,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA
Massachusetts,2020,5000,NA,NA,7000,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA
Massachusetts,2021,5000,NA,NA,10000,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA
Massachusetts,2022,13007,62,12945,19015,NA,NA,0.004766664,1.8,NA,NA,4632,25244,0,1
Massachusetts,2023,4000,NA,NA,6000,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA
Massachusetts,2024,3000,NA,NA,5000,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA
Massachusetts,2025,4000,NA,NA,8000,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA
Michigan,2005,900000,NA,NA,2520000,NA,NA,NA,2.8,NA,NA,300000,2010000,NA,NA
Michigan,2006,810000,NA,NA,2592000,NA,NA,NA,3.2,NA,NA,280000,1932000,NA,NA
Michigan,2007,1468595,8080,1460515,3632036,NA,NA,0.005501857,2.5,NA,NA,488142,3409013,10493,116
Michigan,2008,770000,NA,NA,2233000,NA,NA,NA,2.9,NA,NA,270000,1728000,NA,NA
Michigan,2009,700000,NA,NA,1960000,NA,NA,NA,2.8,NA,NA,290000,1508000,NA,NA
Michigan,2010,700000,NA,NA,2100000,NA,NA,NA,3,NA,NA,310000,2325000,NA,NA
Michigan,2011,700000,NA,NA,2240000,NA,NA,NA,3.2,NA,NA,250000,1775000,NA,NA
Michigan,2012,1261194,8363,1252831,2643287,NA,NA,0.006631018,2.1,NA,NA,439386,3070904,12086,111
Michigan,2013,610000,NA,NA,1891000,NA,NA,NA,3.1,NA,NA,270000,1998000,NA,NA
Michigan,2014,640000,NA,NA,1856000,NA,NA,NA,2.9,NA,NA,260000,2236000,NA,NA
Michigan,2015,660000,NA,NA,2046000,NA,NA,NA,3.1,NA,NA,270000,2376000,NA,NA
Michigan,2016,640000,NA,NA,1920000,NA,NA,NA,3,NA,NA,250000,2225000,NA,NA
Michigan,2017,1186416,8707,1177709,2937628,NA,NA,0.00733891,2.6,NA,NA,476333,3741578,14383,116
Michigan,2018,590000,NA,NA,1416000,NA,NA,NA,2.4,NA,NA,260000,1768000,NA,NA
Michigan,2019,550000,NA,NA,1375000,NA,NA,NA,2.5,NA,NA,260000,2080000,NA,NA
Michigan,2020,560000,NA,NA,1568000,NA,NA,NA,2.8,NA,NA,250000,2075000,NA,NA
Michigan,2021,560000,NA,NA,1736000,NA,NA,NA,3.1,NA,NA,240000,2112000,NA,NA
Michigan,2022,1102761,12970,1089791,2604982,NA,NA,0.011761388007011491,2.6,NA,NA,459899,3625072,16209,150
Michigan,2023,550000,NA,NA,1375000,NA,NA,NA,2.5,NA,NA,230000,1541000,NA,NA
Michigan,2024,550000,NA,NA,1430000,NA,NA,NA,2.6,NA,NA,210000,1533000,NA,NA
Michigan,2025,550000,NA,NA,1705000,NA,NA,NA,3.1,NA,NA,190000,1691000,NA,NA
Minnesota,2005,1350000,NA,NA,4725000,NA,NA,NA,3.5,NA,NA,275000,1513000,NA,NA
Minnesota,2006,1350000,NA,NA,4455000,NA,NA,NA,3.3,NA,NA,285000,2024000,NA,NA
Minnesota,2007,2044775,15603,2029172,5861173,NA,NA,0.007630668,2.9,NA,NA,482275,2980578,9516,159
Minnesota,2008,1350000,NA,NA,4185000,NA,NA,NA,3.1,NA,NA,215000,1247000,NA,NA
Minnesota,2009,1300000,NA,NA,3900000,NA,NA,NA,3,NA,NA,250000,1650000,NA,NA
Minnesota,2010,1100000,NA,NA,3960000,NA,NA,NA,3.6,NA,NA,265000,1935000,NA,NA
Minnesota,2011,1100000,NA,NA,4070000,NA,NA,NA,3.7,NA,NA,290000,2059000,NA,NA
Minnesota,2012,1633559,13122,1620437,4702647,NA,NA,0.008032768,2.9,NA,NA,464221,3307461,8900,125
Minnesota,2013,950000,NA,NA,2470000,NA,NA,NA,2.6,NA,NA,285000,1853000,NA,NA
Minnesota,2014,1100000,NA,NA,3190000,NA,NA,NA,2.9,NA,NA,315000,2142000,NA,NA
Minnesota,2015,1050000,NA,NA,2835000,NA,NA,NA,2.7,NA,NA,350000,2555000,NA,NA
Minnesota,2016,1000000,NA,NA,3400000,NA,NA,NA,3.4,NA,NA,350000,2660000,NA,NA
Minnesota,2017,1698937,15364,1683573,5260020,NA,NA,0.009043302,3.35,NA,NA,436829,3060528,9924,146
Minnesota,2018,720000,NA,NA,2052000,NA,NA,NA,2.85,NA,NA,180000,1224000,NA,NA
Minnesota,2019,780000,NA,NA,2418000,NA,NA,NA,3.1,NA,NA,225000,1440000,NA,NA
Minnesota,2020,740000,NA,NA,2664000,NA,NA,NA,3.6,NA,NA,265000,1908000,NA,NA
Minnesota,2021,680000,NA,NA,1768000,NA,NA,NA,2.6,NA,NA,210000,1365000,NA,NA
Minnesota,2022,1384117,15949,1368168,3955568,NA,NA,0.01152287,3.1,NA,NA,396094,2674392,12058,149
Minnesota,2023,660000,NA,NA,1683000,NA,NA,NA,2.55,NA,NA,145000,769000,NA,NA
Minnesota,2024,680000,NA,NA,2550000,NA,NA,NA,3.75,NA,NA,220000,1804000,NA,NA
Minnesota,2025,760000,NA,NA,2850000,NA,NA,NA,3.75,NA,NA,155000,1070000,NA,NA
Mississippi,2007,3931,35,3896,7113,NA,NA,0.008903587,1.809463240905622,NA,NA,1035,2195,0,1
Mississippi,2012,2823,0,2823,7234,NA,NA,0,2.5625221395678355,NA,NA,1099,2046,NA,NA
Mississippi,2015,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,2017,980,0,980,2879,NA,NA,0,2.9377551020408164,NA,NA,1583,9766,NA,NA
Mississippi,2022,115,0,115,164,NA,NA,0,1.4260869565217391,NA,NA,852,2852,NA,NA
Missouri,2005,420000,NA,NA,1134000,NA,NA,NA,2.7,NA,NA,35000,130000,NA,NA
Missouri,2006,390000,NA,NA,1131000,NA,NA,NA,2.9,NA,NA,30000,108000,NA,NA
Missouri,2007,695021,1823,693198,1922847,NA,NA,0.002622942,2.85,NA,NA,66008,249152,448,11
Missouri,2008,350000,NA,NA,1120000,NA,NA,NA,3.2,NA,NA,30000,150000,NA,NA
Missouri,2009,280000,NA,NA,840000,NA,NA,NA,3,NA,NA,10000,60000,NA,NA
Missouri,2010,240000,NA,NA,672000,NA,NA,NA,2.8,NA,NA,20000,120000,NA,NA
Missouri,2011,250000,NA,NA,650000,NA,NA,NA,2.6,NA,NA,10000,60000,NA,NA
Missouri,2012,415667,2064,413603,868943,NA,NA,0.004965513,2,NA,NA,56721,220833,644,17
Missouri,2013,330000,NA,NA,891000,NA,NA,NA,2.7,NA,NA,25000,150000,NA,NA
Missouri,2014,280000,NA,NA,700000,NA,NA,NA,2.5,NA,NA,20000,100000,NA,NA
Missouri,2015,260000,NA,NA,728000,NA,NA,NA,2.8,NA,NA,45000,225000,NA,NA
Missouri,2016,230000,NA,NA,736000,NA,NA,NA,3.2,NA,NA,20000,120000,NA,NA
Missouri,2017,536201,751,535450,1290015,NA,NA,0.001400594,2.4,NA,NA,60382,300382,1150,12
Missouri,2018,270000,NA,NA,648000,NA,NA,NA,2.4,NA,NA,35000,263000,NA,NA
Missouri,2019,260000,NA,NA,702000,NA,NA,NA,2.7,NA,NA,40000,160000,NA,NA
Missouri,2020,220000,NA,NA,594000,NA,NA,NA,2.7,NA,NA,15000,90000,NA,NA
Missouri,2021,250000,NA,NA,763000,NA,NA,NA,3.05,NA,NA,15000,30000,NA,NA
Missouri,2022,343932,1619,342313,819936,NA,NA,0.004707326,2.6,NA,NA,58997,265717,821,10
Missouri,2023,205000,NA,NA,451000,NA,NA,NA,2.2,NA,NA,10000,41000,NA,NA
Missouri,2024,255000,NA,NA,752000,NA,NA,NA,2.95,NA,NA,15000,53000,NA,NA
Missouri,2025,285000,NA,NA,670000,NA,NA,NA,2.35,NA,NA,10000,61000,NA,NA
Montana,2005,1750000,755000,995000,3850000,2580000,1270000,0.43142857142857144,2.2,3.4,1.3,NA,NA,NA,NA
Montana,2006,1550000,715000,835000,3255000,2430000,825000,0.4612903225806452,2.1,3.4,1,NA,NA,NA,NA
Montana,2007,3568756,1405960,998000,7676445,2308000,1432000,0.39396361084927073,2.2,3.3,1.4,28008,157076,18726,156
Montana,2008,1600000,595000,1005000,3040000,1959000,1081000,0.371875,1.9,3.3,1.1,NA,NA,NA,NA
Montana,2009,1700000,NA,NA,3570000,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA
Montana,2010,1950000,NA,NA,4485000,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA
Montana,2011,2000000,NA,NA,4400000,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA
Montana,2012,2984998,601765,2383233,5790112,NA,NA,0.20159645,2,NA,NA,19827,86294,13170,133
Montana,2013,1800000,NA,NA,3960000,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA
Montana,2014,1850000,NA,NA,3885000,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA
Montana,2015,1700000,NA,NA,3400000,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Montana,2016,1800000,NA,NA,3600000,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Montana,2017,3466438,742768,2723670,7020640,NA,NA,0.21427413385152136,2.1,NA,NA,24449,98239,15349,173
Montana,2018,1900000,NA,NA,3895000,NA,NA,NA,2.05,NA,NA,NA,NA,NA,NA
Montana,2019,2100000,NA,NA,4515000,NA,NA,NA,2.15,NA,NA,NA,NA,NA,NA
Montana,2020,1900000,NA,NA,4180000,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA
Montana,2021,1550000,NA,NA,2635000,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA
Montana,2022,3267085,664411,2602674,6135459,NA,NA,0.2033650792679101,2.05,NA,NA,41922,126259,22088,204
Montana,2023,1650000,NA,NA,3465000,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA
Montana,2024,1500000,NA,NA,3225000,NA,NA,NA,2.15,NA,NA,NA,NA,NA,NA
Montana,2025,1400000,NA,NA,3080000,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA
Nebraska,2005,1250000,430000,820000,4625000,2090000,2535000,0.344,3.7,4.86,3.09,50000,295000,NA,NA
Nebraska,2006,1200000,425000,775000,3960000,1945000,2015000,0.3541666666666667,3.3,4.58,2.6,30000,204000,NA,NA
Nebraska,2007,2185921,784516,705000,7970881,1815000,2200000,0.35889494634069574,3.65,4.59,3.12,70845,491074,14883,154
Nebraska,2008,970000,340000,630000,3832000,1660000,2172000,0.35051546391752575,3.95,4.9,3.45,35000,245000,NA,NA
Nebraska,2009,950000,330000,620000,3610000,1535000,2075000,0.3473684210526316,3.8,4.65,3.35,25000,158000,NA,NA
Nebraska,2010,890000,NA,NA,3649000,NA,NA,NA,4.1,NA,NA,20000,132000,NA,NA
Nebraska,2011,780000,NA,NA,3159000,NA,NA,NA,4.05,NA,NA,30000,150000,NA,NA
Nebraska,2012,1655885,303659,1352226,5124484,NA,NA,0.1833816961926704,3.1,NA,NA,59253,282364,11825,153
Nebraska,2013,700000,NA,NA,2415000,NA,NA,NA,3.45,NA,NA,25000,120000,NA,NA
Nebraska,2014,830000,NA,NA,3403000,NA,NA,NA,4.1,NA,NA,35000,193000,NA,NA
Nebraska,2015,850000,NA,NA,3400000,NA,NA,NA,4,NA,NA,30000,135000,NA,NA
Nebraska,2016,780000,NA,NA,3237000,NA,NA,NA,4.15,NA,NA,25000,163000,NA,NA
Nebraska,2017,1818720,326497,1492223,6696802,NA,NA,0.17952021201724289,3.95,NA,NA,58253,409912,12974,172
Nebraska,2018,850000,NA,NA,3655000,NA,NA,NA,4.3,NA,NA,25000,100000,NA,NA
Nebraska,2019,980000,NA,NA,3724000,NA,NA,NA,3.8,NA,NA,40000,164000,NA,NA
Nebraska,2020,860000,NA,NA,3268000,NA,NA,NA,3.8,NA,NA,35000,231000,NA,NA
Nebraska,2021,930000,NA,NA,3813000,NA,NA,NA,4.1,NA,NA,25000,105000,NA,NA
Nebraska,2022,1682319,317033,1365286,5105082,NA,NA,0.18844999075680652,3.1,NA,NA,56876,279743,10705,147
Nebraska,2023,850000,NA,NA,2890000,NA,NA,NA,3.4,NA,NA,40000,192000,NA,NA
Nebraska,2024,810000,NA,NA,3483000,NA,NA,NA,4.3,NA,NA,20000,160000,NA,NA
Nebraska,2025,865000,NA,NA,3201000,NA,NA,NA,3.7,NA,NA,35000,242000,NA,NA
Nevada,2005,260000,NA,NA,1248000,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA
Nevada,2006,270000,NA,NA,1269000,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA
Nevada,2007,539004,274004,265000,2410586,NA,NA,0.5083524426534868,4.5,NA,NA,0,39534,0,40
Nevada,2008,270000,NA,NA,1296000,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA
Nevada,2009,280000,NA,NA,1316000,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA
Nevada,2010,280000,NA,NA,1204000,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA
Nevada,2011,250000,NA,NA,1100000,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA
Nevada,2012,584041,339225,244816,2542129,NA,NA,0.5808239490035803,4.4,NA,NA,14553,67345,14553,74
Nevada,2013,210000,NA,NA,945000,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA
Nevada,2014,280000,NA,NA,1176000,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA
Nevada,2015,200000,NA,NA,860000,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA
Nevada,2016,200000,NA,NA,880000,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA
Nevada,2017,545361,320361,225000,2377483,NA,NA,0.5874292441153658,4.3,NA,NA,11634,42357,11634,63
Nevada,2018,185000,NA,NA,870000,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA
Nevada,2019,225000,NA,NA,1103000,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA
Nevada,2020,175000,NA,NA,770000,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA
Nevada,2021,210000,NA,NA,1071000,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA
Nevada,2022,574809,0,574809,2479727,NA,NA,0,4.4,NA,NA,11339,45692,11339,51
Nevada,2023,240000,NA,NA,1152000,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA
Nevada,2024,220000,NA,NA,990000,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA
Nevada,2025,215000,NA,NA,1011000,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA
New Hampshire,2005,7000,NA,NA,15000,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA
New Hampshire,2006,7000,NA,NA,17000,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA
New Hampshire,2007,10373,0,10373,25475,NA,NA,0,2.4,NA,NA,5456,35288,NA,NA
New Hampshire,2008,5000,NA,NA,14000,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA
New Hampshire,2009,7000,NA,NA,14000,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
New Hampshire,2010,5000,NA,NA,7000,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA
New Hampshire,2011,4000,NA,NA,7000,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA
New Hampshire,2012,8893,59,8834,16607,NA,NA,0.006634432,2,NA,NA,3978,32437,NA,NA
New Hampshire,2013,6000,NA,NA,10000,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA
New Hampshire,2014,5000,NA,NA,10000,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
New Hampshire,2015,5000,NA,NA,11000,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA
New Hampshire,2016,5000,NA,NA,9000,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA
New Hampshire,2017,10706,0,10706,18762,NA,NA,0,1.8,NA,NA,3605,23992,NA,NA
New Hampshire,2018,4000,NA,NA,9000,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA
New Hampshire,2019,4000,NA,NA,6000,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA
New Hampshire,2020,5000,NA,NA,10000,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
New Hampshire,2021,5000,NA,NA,6000,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA
New Hampshire,2022,10891,NA,NA,28032,NA,NA,NA,2,NA,NA,2116,12416,NA,NA
New Hampshire,2023,5000,NA,NA,10000,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
New Hampshire,2024,5000,NA,NA,9000,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA
New Hampshire,2025,5000,NA,NA,6000,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA
New Jersey,2005,25000,NA,NA,68000,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA
New Jersey,2006,25000,NA,NA,63000,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA
New Jersey,2007,40310,799,39511,105483,NA,NA,0.019821384271892832,2.7,NA,NA,3234,23747,NA,NA
New Jersey,2008,20000,NA,NA,58000,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA
New Jersey,2009,25000,NA,NA,70000,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA
New Jersey,2010,20000,NA,NA,58000,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA
New Jersey,2011,17000,NA,NA,54000,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA
New Jersey,2012,28587,272,28315,91074,NA,NA,0.009514814,3.4,NA,NA,2278,14861,142,6
New Jersey,2013,17000,NA,NA,51000,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
New Jersey,2014,14000,NA,NA,49000,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
New Jersey,2015,12000,NA,NA,36000,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
New Jersey,2016,12000,NA,NA,38000,NA,NA,NA,3.15,NA,NA,NA,NA,NA,NA
New Jersey,2017,30717,413,30304,87603,NA,NA,0.013445323436533516,3.1,NA,NA,2534,15408,18,4
New Jersey,2018,9000,NA,NA,31000,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA
New Jersey,2019,11000,NA,NA,35000,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA
New Jersey,2020,16000,NA,NA,43000,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA
New Jersey,2021,13000,NA,NA,44000,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA
New Jersey,2022,30067,215,29852,73425,NA,NA,0.007150697,2.7,NA,NA,2346,10927,11,4
New Jersey,2023,12000,NA,NA,31000,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA
New Jersey,2024,12000,NA,NA,36000,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
New Jersey,2025,11000,NA,NA,32000,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA
New Mexico,2005,240000,NA,NA,1224000,NA,NA,NA,5.1,NA,NA,7000,53000,NA,NA
New Mexico,2006,220000,NA,NA,1122000,NA,NA,NA,5.1,NA,NA,9000,75000,NA,NA
New Mexico,2007,476103,222018,254085,2424242,NA,NA,0.46632346362026705,5.2,NA,NA,20338,125836,7807,188
New Mexico,2008,250000,NA,NA,1300000,NA,NA,NA,5.2,NA,NA,9000,72000,NA,NA
New Mexico,2009,240000,NA,NA,1224000,NA,NA,NA,5.1,NA,NA,12000,66000,NA,NA
