statefp,stusps,year,speimean
23,ME,2015,-0.110685666
23,ME,2016,-0.066009102
23,ME,2017,-0.031526058
23,ME,2018,-0.195222549
23,ME,2019,0.576521408
23,ME,2020,-1.289762821
23,ME,2021,-0.016177511
23,ME,2022,1.074963814020157
23,ME,2023,0.085564636
23,ME,2024,-0.363084134
23,ME,2025,0.221638572
24,MD,2005,-0.347485051
24,MD,2006,-0.410575147
24,MD,2007,-0.928228249
24,MD,2008,0.408317338
24,MD,2009,0.317974425
24,MD,2010,-1.14715472
24,MD,2011,0.467756173
24,MD,2012,-0.619533717
24,MD,2013,-0.221145951
24,MD,2014,0.662061173
24,MD,2015,0.089542116
24,MD,2016,-0.296226837
24,MD,2017,0.221077502
24,MD,2018,1.392604706
24,MD,2019,0.231278337
24,MD,2020,-0.133657992
24,MD,2021,-0.037117994
24,MD,2022,-0.591753372
24,MD,2023,-0.902133137
24,MD,2024,-0.395191135
24,MD,2025,-0.073005156
25,MA,2005,-0.130006878
25,MA,2006,0.511632128
25,MA,2007,0.251476835
25,MA,2008,0.62307721
25,MA,2009,0.741274785
25,MA,2010,-0.436474255
25,MA,2011,0.559493589
25,MA,2012,-0.628749042
25,MA,2013,0.542065073
25,MA,2014,0.084856864
25,MA,2015,-0.693765033
25,MA,2016,-1.341226776
25,MA,2017,0.315352039
25,MA,2018,0.234739907
25,MA,2019,0.336308654
25,MA,2020,-0.795216928
25,MA,2021,0.739050944
25,MA,2022,0.728524902
25,MA,2023,0.626337569
25,MA,2024,0.097831815
25,MA,2025,-0.109417916
26,MI,2005,-0.954939437
26,MI,2006,0.221362478
26,MI,2007,-0.40150433
26,MI,2008,0.379630909
26,MI,2009,0.727642088
26,MI,2010,-0.199656214
26,MI,2011,0.907272332
26,MI,2012,-0.716456651
26,MI,2013,0.617699671
26,MI,2014,0.647077898
26,MI,2015,-0.037865706
26,MI,2016,0.165403487
26,MI,2017,0.417910436
26,MI,2018,0.238433714
26,MI,2019,0.785056726
26,MI,2020,0.216119374
26,MI,2021,-0.119164407
26,MI,2022,1.173339831895452
26,MI,2023,0.127442931
26,MI,2024,0.16504507
26,MI,2025,-0.0974256
27,MN,2005,-0.012384015
27,MN,2006,-0.812935308
27,MN,2007,-0.044861686
27,MN,2008,0.074716911
27,MN,2009,0.019835016
27,MN,2010,0.178977691
27,MN,2011,0.377806183
27,MN,2012,-0.314410735
27,MN,2013,0.530076232
27,MN,2014,0.991727379
27,MN,2015,0.013378609
27,MN,2016,0.312419419
27,MN,2017,-0.082187896
27,MN,2018,-0.04153445
27,MN,2019,0.798144271
27,MN,2020,-0.151119237
27,MN,2021,-0.962524723
27,MN,2022,0.84968382
27,MN,2023,-0.771835789
27,MN,2024,0.716642138
27,MN,2025,0.315005254
