year,state,county,"HAY, ALFALFA - ACRES HARVESTED","HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE","HAY, ALFALFA, IRRIGATED - ACRES HARVESTED","HAY, ALFALFA, IRRIGATED - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA, IRRIGATED - YIELD, MEASURED IN TONS / ACRE","HAY, ALFALFA, NON-IRRIGATED - ACRES HARVESTED","HAY, ALFALFA, NON-IRRIGATED - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA, NON-IRRIGATED - YIELD, MEASURED IN TONS / ACRE",irr_share
2005,Kentucky,Clark,2500,10250,4.1,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Clark,2500,12500,5,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Clark,5981,12865,2.2,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Clark,2400,4740,2,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Clark,2200,7000,3.2,NA,NA,NA,NA,NA,NA,NA
2010,Kentucky,Clark,2400,5500,2.3,NA,NA,NA,NA,NA,NA,NA
2011,Kentucky,Clark,2300,6000,2.6,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Clark,4800,10892,2.3,0,NA,NA,NA,NA,NA,0
2013,Kentucky,Clark,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Clark,2051,4129,2.0131643100926375,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Clark,1421,3862,2.7178043631245603,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Clay,189,325,1.7195767195767195,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Clay,36,61,1.6944444444444444,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Clay,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Clay,178,349,1.9606741573033708,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Clay,505,880,1.7425742574257426,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Clinton,600,1980,3.3,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Clinton,600,2820,4.7,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Clinton,1210,1389,1.1479338842975206,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Clinton,1000,2180,2.2,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Clinton,209,570,2.727272727272727,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Clinton,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Clinton,978,3171,3.2423312883435584,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Clinton,766,1583,2.066579634464752,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Crittenden,900,2160,2.4,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Crittenden,1000,3800,3.8,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Crittenden,1348,1260,1.8,0,NA,NA,NA,NA,NA,0
2008,Kentucky,Crittenden,800,1600,2,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Crittenden,361,705,1.9529085872576177,0,NA,NA,NA,NA,NA,0
2013,Kentucky,Crittenden,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Crittenden,517,1367,2.644100580270793,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Crittenden,135,469,3.474074074074074,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Cumberland,600,1800,3,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Cumberland,500,2050,4.1,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Cumberland,265,0,0,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Cumberland,273,454,1.663003663003663,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Cumberland,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Cumberland,777,1668,2.146718146718147,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Cumberland,653,1803,2.761102603369066,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Daviess,1000,3700,3.7,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Daviess,1000,4600,4.6,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Daviess,1708,4678,2.7,0,NA,NA,NA,NA,NA,0
2008,Kentucky,Daviess,1000,3800,3.8,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Daviess,900,4200,4.65,NA,NA,NA,NA,NA,NA,NA
2010,Kentucky,Daviess,900,2000,2.2,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Daviess,1539,6233,4.15,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Daviess,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2014,Kentucky,Daviess,590,2170,3.7,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Daviess,803,2894,3.6039850560398508,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Daviess,769,3870,5.032509752925877,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Edmonson,900,3150,3.5,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Edmonson,900,3060,3.4,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Edmonson,1968,2503,1.4,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Edmonson,900,1950,2.15,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Edmonson,900,3000,3.35,NA,NA,NA,NA,NA,NA,NA
2010,Kentucky,Edmonson,950,2250,2.35,NA,NA,NA,NA,NA,NA,NA
2011,Kentucky,Edmonson,820,2200,2.7,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Edmonson,1362,3003,2.1,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Edmonson,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Edmonson,594,1198,2.016835016835017,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Edmonson,280,768,2.742857142857143,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Elliott,428,623,1.455607476635514,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Elliott,248,526,2.120967741935484,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Elliott,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Elliott,665,803,1.2075187969924812,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Elliott,334,863,2.5838323353293413,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Estill,900,1530,1.7,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Estill,1000,2400,2.4,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Estill,1564,1517,0.9699488491048593,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Estill,1000,2600,2.6,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Estill,900,3000,3.35,NA,NA,NA,NA,NA,NA,NA
2010,Kentucky,Estill,820,2400,2.95,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Estill,435,1060,2.4367816091954024,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Estill,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Estill,416,892,2.144230769230769,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Estill,281,641,2.281138790035587,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Fayette,2400,12240,5.1,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Fayette,2400,7920,3.3,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Fayette,6514,11644,1.7,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Fayette,3300,6250,1.9,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Fayette,2900,10100,3.5,NA,NA,NA,NA,NA,NA,NA
2010,Kentucky,Fayette,3100,7000,2.25,NA,NA,NA,NA,NA,NA,NA
2011,Kentucky,Fayette,2850,10900,3.8,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Fayette,5246,12380,2.3,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Fayette,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2014,Kentucky,Fayette,2750,7500,2.75,NA,NA,NA,NA,NA,NA,NA
2015,Kentucky,Fayette,2550,7300,2.85,NA,NA,NA,NA,NA,NA,NA
2016,Kentucky,Fayette,2100,6400,3.05,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Fayette,3526,9595,2.7212138400453774,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Fayette,2387,5250,2.19941349,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Fleming,13600,43520,3.2,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Fleming,14600,54020,3.7,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Fleming,23223,42140,1.6,0,NA,NA,NA,NA,NA,0
2008,Kentucky,Fleming,10000,18500,1.85,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Fleming,9000,31900,3.55,NA,NA,NA,NA,NA,NA,NA
2010,Kentucky,Fleming,9000,27900,3.1,NA,NA,NA,NA,NA,NA,NA
2011,Kentucky,Fleming,8500,34500,4.05,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Fleming,14742,41860,3,6,NA,NA,NA,NA,NA,4.07000407000407e-4
2013,Kentucky,Fleming,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Fleming,8408,25965,3.088130352045671,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Fleming,7779,14999,1.9281398637356986,0,NA,NA,NA,NA,NA,0
2013,Kentucky,Floyd,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Floyd,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Floyd,205,550,2.682926829268293,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Franklin,1700,3400,2,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Franklin,2000,6200,3.1,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Franklin,3686,5475,1.6,32,NA,NA,NA,NA,NA,0.008681498
2008,Kentucky,Franklin,1600,3800,2.4,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Franklin,1600,5100,3.2,NA,NA,NA,NA,NA,NA,NA
2010,Kentucky,Franklin,1800,4700,2.6,NA,NA,NA,NA,NA,NA,NA
2011,Kentucky,Franklin,1650,6900,4.2,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Franklin,1313,4423,3.3686214775323684,0,NA,NA,NA,NA,NA,0
2013,Kentucky,Franklin,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Franklin,2019,5620,2.7835562159484892,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Franklin,1036,2342,2.2606177606177607,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Fulton,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Fulton,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Fulton,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Fulton,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Gallatin,900,4230,4.7,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Gallatin,1000,2800,2.8,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Gallatin,1922,3169,1.7,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Gallatin,900,2700,3,NA,NA,NA,NA,NA,NA,NA
2010,Kentucky,Gallatin,900,2800,3.1,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Gallatin,2019,5368,2.3,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Gallatin,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2016,Kentucky,Gallatin,640,2410,3.75,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Gallatin,447,881,1.970917225950783,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Gallatin,583,1392,2.387650085763293,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Garrard,4300,13760,3.2,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Garrard,5000,17000,3.4,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Garrard,9907,18094,1.6,0,NA,NA,NA,NA,NA,0
2008,Kentucky,Garrard,4100,11100,2.7,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Garrard,3700,13400,3.6,NA,NA,NA,NA,NA,NA,NA
2010,Kentucky,Garrard,4000,12800,3.2,NA,NA,NA,NA,NA,NA,NA
2011,Kentucky,Garrard,3850,15800,4.1,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Garrard,6808,24946,3.75,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Garrard,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2015,Kentucky,Garrard,3800,14600,3.85,NA,NA,NA,NA,NA,NA,NA
2016,Kentucky,Garrard,3850,13500,3.5,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Garrard,3727,11721,3.1448886503890527,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Garrard,2389,8447,3.5357890330682293,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Grant,3300,10560,3.2,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Grant,4000,15200,3.8,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Grant,7736,15334,1.8,0,NA,NA,NA,NA,NA,0
2008,Kentucky,Grant,3100,7020,2.25,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Grant,2700,8650,3.2,NA,NA,NA,NA,NA,NA,NA
2010,Kentucky,Grant,3250,8300,2.55,NA,NA,NA,NA,NA,NA,NA
2011,Kentucky,Grant,3000,9400,3.15,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Grant,2630,6737,2.561596958174905,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Grant,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2014,Kentucky,Grant,2300,7000,3.05,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Grant,2762,6899,2.4978276611151338,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Grant,1585,4043,2.550788643533123,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Graves,500,1200,2.4,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Graves,280,425,1.5178571428571428,0,NA,NA,NA,NA,NA,0
2012,Kentucky,Graves,96,168,1.75,0,NA,NA,NA,NA,NA,0
2013,Kentucky,Graves,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Graves,235,457,1.9446808510638298,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Graves,302,665,2.2019867549668874,15,NA,NA,NA,NA,NA,0.049668874
2005,Kentucky,Grayson,2300,5980,2.6,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Grayson,2600,7800,3,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Grayson,2475,4334,1.751111111111111,0,NA,NA,NA,NA,NA,0
2012,Kentucky,Grayson,3245,7865,2.35,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Grayson,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Grayson,1965,5033,2.561323155216285,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Grayson,1111,2979,2.6813681368136812,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Green,2300,8970,3.9,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Green,2100,7980,3.8,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Green,1944,3784,1.9465020576131686,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Green,1700,4860,2.85,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Green,1083,2440,2.253000923361034,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Green,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Green,1153,2776,2.4076322636600174,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Green,996,1898,1.9056224899598393,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Greenup,800,2320,2.9,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Greenup,1000,4200,4.2,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Greenup,659,1823,2.7663125948406675,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Greenup,500,910,1.8,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Greenup,500,1500,3,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Greenup,656,1428,2.176829268292683,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Greenup,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Greenup,510,1047,2.052941176470588,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Greenup,404,674,1.6683168316831682,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Hancock,600,3360,5.6,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Hancock,600,1800,3,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Hancock,500,2488,2.9,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Hancock,360,861,2.3916666666666666,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Hancock,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Hancock,270,809,2.9962962962962965,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Hancock,125,353,2.824,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Hardin,6700,25460,3.8,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Hardin,7500,30750,4.1,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Hardin,11916,21101,1.8,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Hardin,5000,13200,2.65,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Hardin,4900,15900,3.25,NA,NA,NA,NA,NA,NA,NA
2010,Kentucky,Hardin,4900,14700,3,NA,NA,NA,NA,NA,NA,NA
2011,Kentucky,Hardin,4350,12500,2.85,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Hardin,3683,8764,2.379581862612001,0,NA,NA,NA,NA,NA,0
2013,Kentucky,Hardin,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Hardin,3730,11689,3.133780160857909,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Hardin,1817,5345,2.941662080352229,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Harrison,5700,18810,3.3,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Harrison,6100,23180,3.8,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Harrison,13957,25884,1.6,0,NA,NA,NA,NA,NA,0
2008,Kentucky,Harrison,6000,14700,2.45,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Harrison,5400,15800,2.95,NA,NA,NA,NA,NA,NA,NA
2010,Kentucky,Harrison,6200,15300,2.45,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Harrison,5902,14452,2.4486614706879024,19,NA,NA,NA,NA,NA,0.003219248
2013,Kentucky,Harrison,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Harrison,4789,12422,2.593860931300898,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Harrison,4952,14389,2.9056946688206784,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Hart,9600,27840,2.9,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Hart,10500,38850,3.7,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Hart,16127,35279,2.1,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Hart,7400,19700,2.65,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Hart,7000,25500,3.65,NA,NA,NA,NA,NA,NA,NA
2010,Kentucky,Hart,6900,21500,3.1,NA,NA,NA,NA,NA,NA,NA
2011,Kentucky,Hart,6100,23000,3.75,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Hart,10344,32437,3.45,16,NA,NA,NA,NA,NA,0.00154679
2013,Kentucky,Hart,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2015,Kentucky,Hart,4800,20300,4.25,NA,NA,NA,NA,NA,NA,NA
2016,Kentucky,Hart,4680,14800,3.15,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Hart,10029,35186,3.85,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Hart,5598,22684,4.052161486245088,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Henderson,1200,3600,3,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Henderson,1100,3410,3.1,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Henderson,642,1363,2.1230529595015577,0,NA,NA,NA,NA,NA,0
2008,Kentucky,Henderson,700,2130,3.05,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Henderson,600,2200,3.65,NA,NA,NA,NA,NA,NA,NA
2010,Kentucky,Henderson,550,1300,2.35,NA,NA,NA,NA,NA,NA,NA
2011,Kentucky,Henderson,600,2100,3.5,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Henderson,688,1697,2.4665697674418605,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Henderson,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Henderson,316,735,2.3259493670886076,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Henderson,132,326,2.4696969696969697,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Henry,6200,17980,2.9,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Henry,6800,25840,3.8,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Henry,14122,25135,1.7,0,NA,NA,NA,NA,NA,0
2008,Kentucky,Henry,6100,16400,2.7,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Henry,5500,20400,3.7,NA,NA,NA,NA,NA,NA,NA
2010,Kentucky,Henry,5750,16000,2.8,NA,NA,NA,NA,NA,NA,NA
2011,Kentucky,Henry,4950,14400,2.9,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Henry,10435,25635,2.4,0,NA,NA,NA,NA,NA,0
2013,Kentucky,Henry,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2016,Kentucky,Henry,5010,18400,3.65,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Henry,11874,34251,2.9,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Henry,4746,12656,2.6666666666666665,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Hickman,127,0,0,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Hickman,176,0,0,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Hickman,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Hickman,230,999,4.343478260869565,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Hickman,186,359,1.9301075268817205,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Hopkins,11,29,2.6363636363636362,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Hopkins,686,2246,3.2740524781341107,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Hopkins,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Hopkins,961,3404,3.542143600416233,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Hopkins,267,522,1.9550561797752808,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Jackson,1000,2600,2.6,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Jackson,1200,1680,1.4,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Jackson,1273,1637,1.2859387274155538,NA,NA,NA,NA,NA,NA,NA
2008,Kentucky,Jackson,1000,1840,1.85,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Jackson,900,2250,2.5,NA,NA,NA,NA,NA,NA,NA
2011,Kentucky,Jackson,900,2230,2.5,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Jackson,818,1003,1.226161369193154,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Jackson,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Jackson,886,2294,2.5891647855530473,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Jackson,665,831,1.2496240601503759,0,NA,NA,NA,NA,NA,0
2005,Kentucky,Jefferson,800,2400,3,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Jefferson,900,3510,3.9,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Jefferson,984,1423,1.4,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Jefferson,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Jefferson,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Jefferson,395,719,1.820253164556962,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Jefferson,136,248,1.8235294117647058,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Jessamine,2200,6380,2.9,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Jessamine,2300,4600,2,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Jessamine,5708,10045,1.7,0,NA,NA,NA,NA,NA,0
2008,Kentucky,Jessamine,2100,6100,2.9,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Jessamine,1900,6100,3.2,NA,NA,NA,NA,NA,NA,NA
2010,Kentucky,Jessamine,2300,6200,2.7,NA,NA,NA,NA,NA,NA,NA
2011,Kentucky,Jessamine,2200,6000,2.75,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Jessamine,3472,9506,2.7,0,NA,NA,NA,NA,NA,0
2013,Kentucky,Jessamine,2100,6700,3.2,NA,NA,NA,NA,NA,NA,NA
2014,Kentucky,Jessamine,1800,6100,3.4,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Jessamine,1714,4877,2.8453908984830805,NA,NA,NA,NA,NA,NA,NA
2018,Kentucky,Jessamine,1200,3300,2.75,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Jessamine,825,2798,3.3915151515151516,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Johnson,254,361,1.421259842519685,0,NA,NA,NA,NA,NA,0
2012,Kentucky,Johnson,69,126,1.826086956521739,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Johnson,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Johnson,41,150,3.658536585365854,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Johnson,146,445,3.047945205479452,NA,NA,NA,NA,NA,NA,NA
2005,Kentucky,Kenton,1700,7650,4.5,NA,NA,NA,NA,NA,NA,NA
2006,Kentucky,Kenton,1700,3740,2.2,NA,NA,NA,NA,NA,NA,NA
2007,Kentucky,Kenton,3019,4915,1.7,NA,NA,NA,NA,NA,NA,NA
2009,Kentucky,Kenton,1000,2900,2.9,NA,NA,NA,NA,NA,NA,NA
2012,Kentucky,Kenton,2466,5258,2.1,NA,NA,NA,NA,NA,NA,NA
2013,Kentucky,Kenton,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Kentucky,Kenton,1272,3628,2.852201257861635,NA,NA,NA,NA,NA,NA,NA
2022,Kentucky,Kenton,826,1712,2.072639225181598,0,NA,NA,NA,NA,NA,0
2007,Kentucky,Knox,59,0,0,NA,NA,NA,NA,NA,NA,NA
